state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes,trump_data_defect_index_lower_bound,harris_data_defect_index_lower_bound,trump_effective_sample_size,harris_effective_sample_size,trump_percentage_reduction,harris_percentage_reduction
Kansas,-0.2063069545701361,0.0795704567684738,0.4948522261062227,0.491907656987468,0.0003382065711503,-0.0076683656597137,0.002975313563446,449,1327591,5.8803831891076335e-05,8.852490800825736e-06,5.753383455693001,38.21760464319414,98.71862283837572,91.48828404383204
Utah,-0.183185147544629,0.0444542126325699,0.4910877162313745,0.484907988288675,0.0002862997504622,-0.0063125357456082,0.0015514087861234,426,1487951,3.984810753958128e-05,2.4068692216608816e-06,7.186834185258597,118.98516915917155,98.31294972177028,72.06920911756536
Oregon,-0.1060241378312917,0.0114453641737666,0.4922702474952102,0.4968025107606046,0.0003996470905377,-0.0043065182191539,0.0004606498787626,891,2229467,1.8546099171904482e-05,2.1219831080399808e-07,21.557464374859823,1884.1190143131678,97.58053149552639,-111.46116883425003
Oklahoma,-0.1660853199167652,0.0381493615328574,0.4731581567545052,0.4660865213332314,0.0004290713733412,-0.0072724857331971,0.0016958158574863,672,1566173,5.2889048739555355e-05,2.8757914225019954e-06,8.116151922590626,149.2651905325146,98.79223929723354,77.78791807551866
New Mexico,-0.1064866919872705,-0.0107308378362073,0.4982757407659755,0.4996569289475502,0.0003476272006913,-0.0039852719956305,-0.0004004922280472,321,923403,1.588239287915671e-05,1.6039402472621045e-07,21.89519488853795,2168.086298595368,93.17906701291653,-575.4162923973109
Louisiana,-0.1663801354564574,0.0341577447837658,0.4894536424801668,0.4859013892917014,0.0003064313207688,-0.0059514533825541,0.0012307622751059,615,2006975,3.541979736471464e-05,1.514775777823851e-06,8.654065593590271,202.3568465996169,98.59283486283084,67.09644770737937
Washington,-0.0710493041439627,-0.0322915090959758,0.4883425841460873,0.4941855108884127,0.0002990636946677,-0.0025164136339617,-0.0011301735296112,1166,3898835,6.332337577188328e-06,1.2772922070338382e-06,47.24213718403578,234.20886690591905,95.9483587320724,79.91347625163645
New York,-0.1176998923560515,-0.0205216365051028,0.4959611661695967,0.4959611661695967,0.0003908983734968,-0.0046929424011816,-0.000818240834113,3205,8199062,2.2023708380808126e-05,6.69518062609938e-07,17.755921392838733,584.0786927600183,99.44599309226713,81.77601582652049
Mississippi,-0.1773291379209257,0.0368217796626731,0.487994906693306,0.4853914685395555,0.0003868052976853,-0.00714817259741,0.0014922543478352,475,1228008,5.109637148236323e-05,2.226823038633058e-06,7.573042129865163,173.7699705840618,98.40567534108102,63.41684829809224
Wyoming,-0.0754971700235128,-0.0337605631351149,0.4474045687726057,0.4391980324485725,0.0003303886196138,-0.0030677117690475,-0.0013974413533954,88,266353,9.410855497952542e-06,1.9528423361795676e-06,35.11878515207307,169.23937289088508,60.09228959991697,-92.3174691941876
