state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes,trump_data_defect_index_lower_bound,harris_data_defect_index_lower_bound,trump_effective_sample_size,harris_effective_sample_size,trump_percentage_reduction,harris_percentage_reduction
Kansas,-0.2063069545701361,0.0795704567684738,0.4948522261062227,0.491907656987468,0.0003382065711503,-0.0044,0.00016,449,1327591,1.936e-05,2.5600000000000004e-08,17.475257930447885,13215.66380990121,96.10796037183789,-2843.354968797597
Utah,-0.183185147544629,0.0444542126325699,0.4910877162313745,0.484907988288675,0.0002862997504622,-0.0044,0.00016,426,1487951,1.936e-05,2.5600000000000004e-08,14.792445324551837,11186.786776692325,96.52759499423665,-2526.006285608527
Oregon,-0.1060241378312917,0.0114453641737666,0.4922702474952102,0.4968025107606046,0.0003996470905377,-0.0044,0.00016,891,2229467,1.936e-05,2.5600000000000004e-08,20.6511814148217,15617.455944958907,97.68224675478993,-1652.8008916901128
Oklahoma,-0.1660853199167652,0.0381493615328574,0.4731581567545052,0.4660865213332314,0.0004290713733412,-0.0044,0.00016,672,1566173,1.936e-05,2.5600000000000004e-08,22.172291043984064,16767.795102012948,96.70055192797857,-2395.2076044662126
New Mexico,-0.1064866919872705,-0.0107308378362073,0.4982757407659755,0.4996569289475502,0.0003476272006913,-0.0044,0.00016,321,923403,1.936e-05,2.5600000000000004e-08,17.962194596356586,13583.909663494667,94.40430074879858,-4131.74755872108
Louisiana,-0.1663801354564574,0.0341577447837658,0.4894536424801668,0.4859013892917014,0.0003064313207688,-0.0044,0.00016,615,2006975,1.936e-05,2.5600000000000004e-08,15.832915790594852,11973.642566637356,97.42554214787076,-1846.9337506727409
Washington,-0.0710493041439627,-0.0322915090959758,0.4883425841460873,0.4941855108884127,0.0002990636946677,-0.0044,0.00016,1166,3898835,1.936e-05,2.5600000000000004e-08,15.452126059770443,11685.670332701397,98.67477478046565,-902.2015722728471
New York,-0.1176998923560515,-0.0205216365051028,0.4959611661695967,0.4959611661695967,0.0003908983734968,-0.0044,0.00016,3205,8199062,1.936e-05,2.5600000000000004e-08,20.198927416757886,15275.43885892315,99.36976825532736,-376.6127569086786
Mississippi,-0.1773291379209257,0.0368217796626731,0.487994906693306,0.4853914685395555,0.0003868052976853,-0.0044,0.00016,475,1228008,1.936e-05,2.5600000000000004e-08,19.9873436941724,15115.428668717874,95.79213816964791,-3082.195509203763
Wyoming,-0.0754971700235128,-0.0337605631351149,0.4474045687726057,0.4391980324485725,0.0003303886196138,-0.0044,0.00016,88,266353,1.936e-05,2.5600000000000004e-08,17.071167992241786,12910.07079413285,80.60094546336161,-14570.534993332782
