state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes
Kansas,-0.20630695457013615,0.0795704567684738,0.49485222610622276,0.491907656987468,0.00033820657115030155,-0.007668365659713758,0.002975313563446009,449,1327591
Utah,-0.18318514754462906,0.044454212632569934,0.4910877162313745,0.48490798828867504,0.0002862997504622128,-0.006312535745608258,0.0015514087861234784,426,1487951
Oregon,-0.10602413783129172,0.011445364173766626,0.4922702474952102,0.4968025107606046,0.00039964709053778326,-0.004306518219153905,0.0004606498787626895,891,2229467
Oklahoma,-0.16608531991676523,0.03814936153285742,0.47315815675450523,0.4660865213332314,0.0004290713733412592,-0.007272485733197161,0.0016958158574863014,672,1566173
New Mexico,-0.10648669198727051,-0.010730837836207319,0.4982757407659755,0.49965692894755026,0.00034762720069135577,-0.003985271995630572,-0.00040049222804720743,321,923403
Louisiana,-0.1663801354564574,0.03415774478376582,0.4894536424801668,0.4859013892917014,0.00030643132076881875,-0.005951453382554135,0.0012307622751059778,615,2006975
Washington,-0.07104930414396271,-0.03229150909597589,0.4883425841460873,0.4941855108884127,0.00029906369466776615,-0.002516413633961732,-0.0011301735296112112,1166,3898835
New York,-0.1176998923560515,-0.020521636505102858,0.49596116616959673,0.49596116616959673,0.00039089837349687073,-0.0046929424011816585,-0.000818240834113074,3205,8199062
Mississippi,-0.1773291379209257,0.03682177966267319,0.487994906693306,0.4853914685395555,0.0003868052976853571,-0.007148172597410034,0.0014922543478352408,475,1228008
Wyoming,-0.07549717002351286,-0.03376056313511497,0.4474045687726057,0.4391980324485725,0.00033038861961382074,-0.003067711769047517,-0.0013974413533954537,88,266353
Vermont,-0.03175185229841704,-0.13767135636778205,0.468698803866515,0.4789491962031454,0.00023199386444462032,-0.0010319623498713344,-0.004378675636746378,85,366389
Delaware,-0.10702101377019663,-0.046466729604851764,0.49337931365385485,0.495589001190566,0.0003947648706167908,-0.00431065347762622,-0.0018632684758384387,202,511697
Montana,-0.10992632826644472,-0.00888812098335312,0.4929080155396161,0.48650313587376826,0.0002869164442926017,-0.0037781210935717404,-0.00030950263130568494,173,602963
Kentucky,-0.18064616395122252,0.08459605197496883,0.4784826633189883,0.473564863063906,0.0004070787325960578,-0.007618862885989213,0.00360494169116825,844,2073309
Virginia,-0.07379754187312687,-0.046057676586842566,0.498623359083209,0.49955905941388024,0.0002625722352504453,-0.0023985606305309943,-0.0014941582998632065,1177,4482576
Texas,-0.14614254800045307,0.01637382845064861,0.4961632802547463,0.49432572534561875,0.000370998334373892,-0.005674382546339488,0.0006381217973736968,4222,11380105
Massachusetts,-0.0548167018353487,-0.04543338053857582,0.4806766744349175,0.48641234956893664,0.00026553779801695096,-0.0018585775934954207,-0.0015222686476301565,917,3453369
Illinois,-0.103738160103582,-0.0389052477966253,0.4961326535558095,0.49772082793397465,0.0003461860878969338,-0.0038910850304019174,-0.0014546294059437693,1936,5592368
Arizona,-0.0472571732291579,-0.044466837917311264,0.49950245341634425,0.4989107485573138,0.00034284173310331664,-0.0017520698453832536,-0.0016505728140694534,1162,3389319
Pennsylvania,-0.054664240507844186,-0.044358780371395234,0.49998612144693977,0.4998211591627556,0.0003558326270228651,-0.0020627449586490083,-0.0016744227837594654,2503,7034206
Colorado,-0.07989377528555941,-0.01794966430585565,0.495310598799216,0.49826690089814313,0.0002717124749245739,-0.002659188483527003,-0.0005938928421312578,867,3190873
Iowa,-0.15509546860264495,0.05841273014584414,0.4964462601168071,0.4946247754674774,0.0003283340847596854,-0.005661821318300765,0.0021402323904846105,544,1656849
New Jersey,-0.05976525158569712,-0.045439120554910784,0.4984488810231379,0.49961011655371007,0.00031876612700325904,-0.0021410826871687944,-0.0016240672422608714,1362,4272725
South Dakota,-0.09998563414312844,0.04692205287525192,0.48161564525998907,0.47450961974761935,0.0003054168356950681,-0.0036286897342108207,0.0017284021602650167,131,428922
Missouri,-0.12845451209189446,0.04174256682263028,0.4926797662885822,0.490112275637934,0.000405866389452685,-0.005253688653467635,0.0017161816953908573,1215,2993596
Wisconsin,-0.1089625000560161,-0.002861801598946001,0.499991459708054,0.4998670407864027,0.0003153536836501852,-0.0038706322971149847,-0.00010168396279931743,1077,3415213
Georgia,-0.13785285473023579,0.006583196335981201,0.4999473500167054,0.499784810115321,0.0003062829723238668,-0.004826356951122165,0.0002305587985080938,1608,5250047
Indiana,-0.12535567794091806,0.009660319603839285,0.4924794070370216,0.4892016899301828,0.0003674453007563647,-0.004880137829032202,0.00037859920658545276,1078,2933770
Nebraska,-0.17527385637080556,0.06550372070211141,0.4906334759464198,0.48789307572514096,0.0003008998489166022,-0.006197782045356247,0.0023292582849157315,285,947159
Alabama,-0.16182699626063085,0.031821867037294504,0.47752525682417574,0.47448864589691137,0.00039089645587213345,-0.006701474839073852,0.0013262200742068563,882,2256352
Connecticut,-0.0944506176956138,-0.032453645253888164,0.4934080930647806,0.49586510564213443,0.00030481753883722346,-0.003342602320131403,-0.0011428417915679094,536,1758429
North Dakota,-0.2611056007246761,0.13674897604070702,0.4682824828888268,0.46153977848885575,0.0002711890406756168,-0.009183394444836386,0.00487988861401653,99,365059
Hawaii,-0.10682897947338177,-0.03722390212324034,0.48407196783832146,0.48866705541312083,0.0002961093553138082,-0.0037981273210959624,-0.001310989489125031,153,516701
California,-0.08278046529134231,-0.03559082330751717,0.48621440770058355,0.4927590089098685,0.0002543729451583278,-0.002715755963255186,-0.0011521105777685062,4035,15862536
Minnesota,-0.10575083462976403,0.00562739242012622,0.49901963223278084,0.49987299964625587,0.000246535238802857,-0.0033278153079085715,0.00017678302675605824,799,3240916
Tennessee,-0.12384581398647632,0.02772195536716421,0.4794300939493248,0.47528359754281746,0.00036978506773300537,-0.004968336909347443,0.0011218273683223873,1133,3063942
New Hampshire,-0.13128031832086767,0.035131957253734636,0.49964279998219774,0.49991831413662563,0.00034423366045667524,-0.0048757498648832115,0.0013040814830914782,283,822116
Michigan,-0.09537799344384662,-0.0002793973188141008,0.49999333741260843,0.4997201155732156,0.00025960246562298234,-0.0030739354966143706,-9.009614069014279e-06,1470,5662504
Nevada,-0.14828934373571723,0.0386280163039881,0.4999649942475059,0.4993711651343044,0.00039734920934242075,-0.005913475782025741,0.0015422380773415817,590,1484840
North Carolina,-0.12970587358633512,0.00922425622459172,0.49989353879683085,0.4995196638183608,0.0002706154097252875,-0.00426891151071284,0.00030381821075738563,1537,5679647
