state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes
Kansas,-0.19146103847541318,0.11765395297319176,0.49485222610622276,0.491907656987468,0.00029527166122698934,-0.0066493607038411034,0.00411053122054027,392,1327591
Utah,-0.17506435069143783,0.08948656893253182,0.4910877162313745,0.48490798828867504,0.0002486641025141285,-0.00562210816588674,0.00291044280305838,370,1487951
Oregon,-0.10377946891995621,0.048482401210803716,0.4922702474952102,0.4968025107606046,0.0003633155368525302,-0.0040190994102337575,0.0018604638323564042,810,2229467
Oklahoma,-0.1331512833127998,0.07068621969249145,0.47315815675450523,0.4660865213332314,0.0003588364759193269,-0.005331694428167002,0.0028733890876781816,562,1566173
New Mexico,-0.08484613367860422,0.03308242365756775,0.4982757407659755,0.49965692894755026,0.00030430916945255757,-0.0029708855591072565,0.0011551782783861193,281,923403
Louisiana,-0.13419132813149093,0.06838301907534361,0.4894536424801668,0.4859013892917014,0.0002566050897494986,-0.004392393577112289,0.002254698580255258,515,2006975
Washington,-0.054273028465782414,0.0002725288512328561,0.4883425841460873,0.4941855108884127,0.00027059365169339046,-0.0018284244811330194,9.072773018106319e-06,1055,3898835
New York,-0.1001612846951021,0.018724584837349623,0.49596116616959673,0.49596116616959673,0.0003429660612396882,-0.003740694779970145,0.0006993017009655725,2812,8199062
Mississippi,-0.1375863895287482,0.0688574798857996,0.487994906693306,0.4853914685395555,0.00032654510394069093,-0.0050956864070170645,0.0025639024268529257,401,1228008
Wyoming,-0.02459430576448418,-0.04185520821606137,0.4474045687726057,0.4391980324485725,0.00027407237763419224,-0.000910177948324621,-0.0015779065421553128,73,266353
Vermont,-0.036395815146714194,-0.09092213036159003,0.468698803866515,0.4789491962031454,0.0002074298082093076,-0.0011185057879455928,-0.002734392061927561,76,366389
Delaware,-0.08556886855567519,0.0084439338752893,0.49337931365385485,0.495589001190566,0.000340044987560998,-0.003198724922935745,0.0003142427056883643,174,511697
Montana,-0.06778573531473853,-0.010417115948857414,0.4929080155396161,0.48650313587376826,0.0002570638662737183,-0.0022052040241164693,-0.0003433509075162628,155,602963
Kentucky,-0.15198819259613783,0.12048053227995753,0.4784826633189883,0.473564863063906,0.0003501648813563246,-0.005945056526182303,0.004761565363495559,726,2073309
Virginia,-0.05343550440276679,-0.02050992815592112,0.498623359083209,0.49955905941388024,0.0002304478496293203,-0.001627022916604191,-0.0006233237527796439,1033,4482576
Texas,-0.11950396232832855,0.05542435558672093,0.4961632802547463,0.49432572534561875,0.00031686878108769646,-0.004288113083308617,0.001996162923215885,3606,11380105
Massachusetts,-0.041041599378349114,-0.021306938824568245,0.4806766744349175,0.48641234956893664,0.00024063458031852374,-0.0013246541583462532,-0.0006795911966827232,831,3453369
Illinois,-0.08461079943581723,-0.00036113665150405705,0.4961326535558095,0.49772082793397465,0.00030416453280613867,-0.002974735328364976,-1.2656280642444627e-05,1701,5592368
Arizona,-0.022783294276494226,-0.021603542083873994,0.49950245341634425,0.4989107485573138,0.000305371078968961,-0.0007971850882177807,-0.0007568021813172692,1035,3389319
Pennsylvania,-0.02721827495728507,-0.025635149437735538,0.49998612144693977,0.4998211591627556,0.00032071850042492356,-0.0009750666625272861,-0.0009186559171528682,2256,7034206
Colorado,-0.07071216146356007,0.009425991838955206,0.495310598799216,0.49826690089814313,0.00024570078470688113,-0.00223806720206036,0.0002965661999279377,784,3190873
Iowa,-0.14738602118731514,0.08422972360989639,0.4964462601168071,0.4946247754674774,0.00029875987491919905,-0.005132276791960555,0.0029438489913591083,495,1656849
New Jersey,-0.0367244211408313,-0.021775791009143897,0.4984488810231379,0.49961011655371007,0.00028763845087151645,-0.0012497417345265901,-0.0007393135321413509,1229,4272725
South Dakota,-0.09047713005848934,0.09620556700408539,0.48161564525998907,0.47450961974761935,0.00026578258984150967,-0.003063086180097084,0.003305796901855827,114,428922
Missouri,-0.11423014279506144,0.06361812595664351,0.4926797662885822,0.490112275637934,0.00036878723782367425,-0.004453321307281522,0.0024931782473364946,1104,2993596
Wisconsin,-0.08067057342238221,0.020356611149053128,0.499991459708054,0.4998670407864027,0.00028197362799919066,-0.0027096802272109904,0.000683937573591898,963,3415213
