state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes
Kansas,-0.20579126721120278,0.12650548016124824,0.49485222610622276,0.491907656987468,0.0002244667220552113,-0.006231263882506637,0.0038534567291612803,298,1327591
Utah,-0.12677015485625837,0.03175506693873481,0.4910877162313745,0.48490798828867504,8.199194731546939e-05,-0.002337552401481007,0.0005930032853960938,122,1487951
Oregon,-0.1108589442285981,0.0513566296058654,0.4922702474952102,0.4968025107606046,0.0002870641278834807,-0.0038160930611528983,0.001751719398367571,640,2229467
Oklahoma,-0.14749674041716876,0.08496130664988732,0.47315815675450523,0.4660865213332314,0.00022602866988512765,-0.0046871293973768284,0.002740851404350356,354,1566173
New Mexico,-0.12161321838372541,0.08041148145344568,0.4982757407659755,0.49965692894755026,0.0002025117960413817,-0.003473602993523781,0.0022904208636375547,187,923403
Louisiana,-0.1371175281450696,0.07593954022409782,0.4894536424801668,0.4859013892917014,0.00014250302071525553,-0.003344447571455369,0.0018657901849613813,286,2006975
Washington,-0.053808150873486116,0.003587045710592318,0.4883425841460873,0.4941855108884127,0.00020134219580977394,-0.001563632167612315,0.00010300493409228245,785,3898835
New York,-0.11329356534920237,0.030658166130888675,0.49596116616959673,0.49596116616959673,0.0002184396215079237,-0.00337653081994574,0.0009137168779611637,1791,8199062
Mississippi,-0.10427845565971705,0.04127597069581157,0.487994906693306,0.4853914685395555,0.00017589461957902554,-0.002834286691015197,0.0011278974964542634,216,1228008
Wyoming,-0.10783982736617015,0.00819747882292704,0.4474045687726057,0.4391980324485725,0.00019522963886271227,-0.003368170303553604,0.0002608165769140057,52,266353
Vermont,-0.11018322484743662,-0.07492625832856636,0.468698803866515,0.4789491962031454,0.0001391963186667722,-0.002773739920070552,-0.0018458172467574112,51,366389
Delaware,-0.10072038370719033,0.033731290197128394,0.49337931365385485,0.495589001190566,0.00021497096914775736,-0.0029934570250943413,0.000998039859005263,110,511697
Montana,-0.06290636421145845,-0.014862765176290316,0.4929080155396161,0.48650313587376826,0.00019735871023595145,-0.0017930801952800118,-0.000429224972577066,119,602963
Kentucky,-0.150821964053167,0.12495632830973741,0.4784826633189883,0.473564863063906,0.00021077417789630007,-0.004576704378796082,0.0038311861998199595,437,2073309
Virginia,-0.02663434702825851,-0.05700503559384901,0.498623359083209,0.49955905941388024,0.0001610681001281406,-0.0006779679758433394,-0.001448325336911576,722,4482576
Texas,-0.11520714569957385,0.0612564245575386,0.4961632802547463,0.49432572534561875,0.0001934077058164226,-0.003229488077224092,0.0017235239413353012,2201,11380105
Massachusetts,-0.04135358404653122,-0.02317884683366045,0.4806766744349175,0.48641234956893664,0.00016418749343032846,-0.0011024675096618676,-0.0006106507925275382,567,3453369
Illinois,-0.08576664993253402,0.00033635933789399886,0.4961326535558095,0.49772082793397465,0.00018990166598478498,-0.002382463539755356,9.313722668765497e-06,1062,5592368
Arizona,-0.004366199619614153,-0.025120339400184766,0.49950245341634425,0.4989107485573138,0.00020564603095784138,-0.00012536340738542251,-0.0007221168322616899,697,3389319
Pennsylvania,-0.0265970317047865,-0.030465414291250548,0.49998612144693977,0.4998211591627556,0.00022376370552696352,-0.0007958269450197899,-0.0009118761748252448,1574,7034206
Colorado,-0.07608588134862598,0.02158247898254917,0.495310598799216,0.49826690089814313,0.00017362019735664818,-0.002024250623106873,0.0005707909980565618,554,3190873
Iowa,-0.16106973330852725,0.09916027916545195,0.4964462601168071,0.4946247754674774,0.0002317652363009544,-0.0049398774669113955,0.0030523642252937824,384,1656849
New Jersey,-0.03451688272499348,-0.010584107726329672,0.4984488810231379,0.49961011655371007,0.00019168095302178351,-0.0009588309598163718,-0.0002933284144390206,819,4272725
South Dakota,-0.2037812236257408,0.19927574244268192,0.48161564525998907,0.47450961974761935,0.00016786268832095347,-0.005482480809464287,0.005441554153358615,72,428922
Missouri,-0.13184413177034704,0.08005252525573459,0.4926797662885822,0.490112275637934,0.000265232850391302,-0.0043588039559786795,0.0026604231273502205,794,2993596
Wisconsin,-0.073584589867,0.0014836597044914912,0.499991459708054,0.4998670407864027,0.00018944645619467951,-0.0020258564659333287,4.085678451550414e-05,647,3415213
Georgia,-0.10749738569858247,0.03640690388519169,0.4999473500167054,0.499784810115321,0.0001577128738085583,-0.0027004830398422094,0.0009148892339719529,828,5250047
Indiana,-0.1249773161452335,0.07736808989878619,0.4924794070370216,0.4892016899301828,0.00021644505192976954,-0.0037339109424030566,0.0023269913174500147,635,2933770
Nebraska,-0.13389874228501297,0.05445007502723059,0.4906334759464198,0.48789307572514096,0.00018265148723709535,-0.00368867670599906,0.0015084297883681212,173,947159
Alabama,-0.13083024973593393,0.06854177239074022,0.47752525682417574,0.47448864589691137,0.00020386889988796073,-0.003912294934759097,0.0020627626999637242,460,2256352
Connecticut,-0.10743364775081721,0.03172034779456823,0.4934080930647806,0.49586510564213443,0.0001660573159337113,-0.002806074014222107,0.0008244028064071665,292,1758429
North Dakota,-0.24191368153275689,0.17563786492959588,0.4682824828888268,0.46153977848885575,0.00016435699434885867,-0.006623420170334353,0.004879089668931773,60,365059
Hawaii,-0.1422446961476484,0.05693934457078609,0.48407196783832146,0.48866705541312083,0.00016644055266004903,-0.0037913324485009258,0.001503367378588453,86,516701
