state,trump_sigma_g,harris_sigma_g,sample_ratio,sample_size,total_votes,trump_error,harris_error,trump_s_g_sq,harris_s_g_sq,trump_var_srs,harris_var_srs,trump_Z_n_N,harris_Z_n_N
Kansas,0.4948522261062227,0.491907656987468,0.0003382065711503,449,1327591,-0.2063069545701361,0.0795704567684738,0.24487891013586222,0.24197332526786408,0.0005452028741187487,0.0005387338269470277,-8.835574637807957,3.4281887728461373
Utah,0.4910877162313745,0.484907988288675,0.0002862997504622,426,1487951,-0.183185147544629,0.0444542126325699,0.24116730711348747,0.23513591513282195,0.0005659583590930545,0.0005518042154436496,-7.700129324467285,1.8924325769682433
Oregon,0.4922702474952102,0.4968025107606046,0.0003996470905377,891,2229467,-0.1060241378312917,0.0114453641737666,0.24233010526318352,0.24681284540290663,0.0002718667325944617,0.00027689585563112686,-6.430233085696758,0.687814596526657
Oklahoma,0.4731581567545052,0.4660865213332314,0.0004290713733412,672,1566173,-0.1660853199167652,0.0381493615328574,0.22387878424971583,0.21723678407399682,0.0003330100063575831,0.00032313031843558625,-9.101282725117835,2.1222591745031516
New Mexico,0.4982757407659755,0.4996569289475502,0.0003476272006913,321,923403,-0.1064866919872705,-0.0107308378362073,0.2482789827097998,0.24965731701188365,0.0007731859008786602,0.0007774782845409306,-3.8295996330425437,-0.3848482340095082
Louisiana,0.4894536424801668,0.4859013892917014,0.0003064313207688,615,2006975,-0.1663801354564574,0.0341577447837658,0.2395649875033071,0.2361002777554754,0.000389417198841913,0.00038378525078947793,-8.431287706883902,1.7435927282260115
Washington,0.4883425841460873,0.4941855108884127,0.0002990636946677,1166,3898835,-0.0710493041439627,-0.0322915090959758,0.23847854065709367,0.24421938181110722,0.00020446588369093122,0.00020938794567793595,-4.96877580953499,-2.2315802214392018
New York,0.4959611661695967,0.4959611661695967,0.0003908983734968,3205,8199062,-0.1176998923560515,-0.0205216365051028,0.24597750834899518,0.24597750834899518,7.671805183808572e-05,7.671805183808572e-05,-13.437772451580715,-2.3429510101454665
Mississippi,0.487994906693306,0.4853914685395555,0.0003868052976853,475,1228008,-0.1773291379209257,0.0368217796626731,0.23813922288179365,0.23560506959054223,0.0005011518091974659,0.0004958188132662381,-7.9212815790718505,1.6536487774623736
Wyoming,0.4474045687726057,0.4391980324485725,0.0003303886196138,88,266353,-0.0754971700235128,-0.0337605631351149,0.20017159968608428,0.1928956359171846,0.002273925741677024,0.0021912716522080045,-1.583224615647028,-0.7212097211811123
Vermont,0.468698803866515,0.4789491962031454,0.0002319938644446,85,366389,-0.031751852298417,-0.137671356367782,0.2196791683249513,0.22939295863492085,0.002583861224773572,0.0026981145985408325,-0.624646733657626,-2.650412037397362
Delaware,0.4933793136538548,0.495589001190566,0.0003947648706167,202,511697,-0.1070210137701966,-0.0464667296048517,0.24342362285984082,0.245608938090076,0.0012045917216082053,0.0012154058431158839,-3.0835367122803476,-1.3328505248457967
Montana,0.4929080155396161,0.4865031358737682,0.0002869164442926,173,602963,-0.1099263282664447,-0.0088881209833531,0.24295871472453504,0.23668569375268456,0.0014039826929132739,0.0013677328597399892,-2.9337347487539143,-0.24033073631154
Kentucky,0.4784826633189883,0.473564863063906,0.000407078732596,844,2073309,-0.1806461639512225,0.0845960519749688,0.22894576952213289,0.22426378769581953,0.00027115233479673296,0.0002656072211817028,-10.970390060585611,5.190750521381523
Virginia,0.498623359083209,0.4995590594138802,0.0002625722352504,1177,4482576,-0.0737975418731268,-0.0460576765868425,0.2486253096882514,0.2495593095156716,0.00021118099200080436,0.00021197432639757395,-5.078254748952743,-3.1634457705110037
Texas,0.4961632802547463,0.4943257253456187,0.0003709983343738,4222,11380105,-0.146142548000453,0.0163738284506486,0.24617802230546548,0.2443579442108525,5.828675761942935e-05,5.7855823737697594e-05,-19.142194579714683,2.1526662171841813
Massachusetts,0.4806766744349175,0.4864123495689366,0.0002655377980169,917,3453369,-0.0548167018353487,-0.0454333805385758,0.23105013225152965,0.2365970423251228,0.00025189616107762275,0.0002579435298445872,-3.4538393033607124,-2.828868325895777
Illinois,0.4961326535558095,0.4977208279339746,0.0003461860878969,1936,5592368,-0.103738160103582,-0.0389052477966253,0.24614765393925314,0.2477260668564495,0.00012709836830882793,0.00012791338199302394,-9.201710245103657,-3.439934671928581
Arizona,0.4995024534163442,0.4989107485573138,0.0003428417331033,1162,3389319,-0.0472571732291579,-0.0444668379173112,0.24950277458337367,0.24891200846614348,0.0002146447802235124,0.00021413654994988874,-3.2255781916534914,-3.038721137075419
Pennsylvania,0.4999861214469397,0.4998211591627556,0.0003558326270228,2503,7034206,-0.0546642405078441,-0.0443587803713952,0.24998615717819997,0.24982122666199977,9.983907468924168e-05,9.977320500145049e-05,-5.47082779649941,-4.440916784246005
Colorado,0.495310598799216,0.4982669008981431,0.0002717124749245,867,3190873,-0.0798937752855594,-0.0179496643058556,0.2453326661685887,0.24826998233692757,0.0002828904339361986,0.0002862774213213118,-4.750111596179621,-1.0608715003736988
Iowa,0.4964462601168071,0.4946247754674774,0.0003283340847596,544,1656849,-0.1550954686026449,0.0584127301458441,0.2464590379356238,0.24465381616836057,0.00045290095042825823,0.000449583617613136,-7.287817578366477,2.7548773372177404
New Jersey,0.4984488810231379,0.49961011655371,0.0003187661270032,1362,4272725,-0.0597652515856971,-0.0454391205549107,0.24845134514143638,0.24961032698228103,0.0001823584047491901,0.00018320907464397128,-4.4257396239843105,-3.3570393096743607
South Dakota,0.481615645259989,0.4745096197476193,0.000305416835695,131,428922,-0.0999856341431284,0.0469220528752519,0.23195417054323217,0.22515990417673604,0.001770101739194188,0.001718252950773107,-2.3765036792626373,1.1319661899968494
Missouri,0.4926797662885822,0.490112275637934,0.0004058663894526,1215,2993596,-0.1284545120918944,0.0417425668226302,0.24273343319440419,0.2402101229723237,0.0001996995192199787,0.00019762356358601067,-9.089936602194143,2.9693390373737407
Wisconsin,0.499991459708054,0.4998670407864027,0.0003153536836501,1077,3415213,-0.1089625000560161,-0.002861801598946,0.2499915329803878,0.24986713162752677,0.00023204521562635198,0.00023192974476058024,-7.153041587066105,-0.18791493451427502
Georgia,0.4999473500167054,0.499784810115321,0.0003062829723238,1608,5250047,-0.1378528547302357,0.0065831963359812,0.2499474003973286,0.24978490399965847,0.00015539231701779246,0.0001552912929955347,-11.058621476672519,0.5282788875001472
