state,trump_sigma_g,harris_sigma_g,sample_ratio,sample_size,total_votes,trump_error,harris_error,trump_s_g_sq,harris_s_g_sq,trump_var_srs,harris_var_srs,trump_Z_n_N,harris_Z_n_N
Kansas,0.4948522261062227,0.491907656987468,0.0002952716612269,392,1327591,-0.1914610384754131,0.1176539529731917,0.24487891013586222,0.24197332526786408,0.0006245066437073136,0.0006170966260258664,-7.661466001960101,4.736198951874065
Utah,0.4910877162313745,0.484907988288675,0.0002486641025141,370,1487951,-0.1750643506914378,0.0894865689325318,0.24116730711348747,0.23513591513282195,0.0006516414525986712,0.0006353444466797746,-6.857935019788166,3.5502034171618235
Oregon,0.4922702474952102,0.4968025107606046,0.0003633155368525,810,2229467,-0.1037794689199562,0.0484824012108037,0.24233010526318352,0.24681284540290663,0.000299064275272709,0.00030459651168083575,-6.001076667328467,2.7779323065097197
Oklahoma,0.4731581567545052,0.4660865213332314,0.0003588364759193,562,1566173,-0.1331512833127998,0.0706862196924914,0.22387878424971583,0.21723678407399682,0.0003982178796721398,0.0003864036149323126,-6.672444632400878,3.5959543168097308
New Mexico,0.4982757407659755,0.4996569289475502,0.0003043091694525,281,923403,-0.0848461336786042,0.0330824236575677,0.2482789827097998,0.24965731701188365,0.0008832862246931633,0.0008881898363028328,-2.854837074970679,1.1100548007404512
Louisiana,0.4894536424801668,0.4859013892917014,0.0002566050897494,515,2006975,-0.1341913281314909,0.0683830190753436,0.2395649875033071,0.2361002777554754,0.00046505536681201547,0.0004583295014029361,-6.222603386100839,3.1941798415425677
Washington,0.4883425841460873,0.4941855108884127,0.0002705936516933,1055,3898835,-0.0542730284657824,0.0002725288512328,0.23847854065709367,0.24421938181110722,0.0002259848434861865,0.00023142492663200822,-3.6103092149887277,0.01791461248236295
New York,0.4959611661695967,0.4959611661695967,0.0003429660612396,2812,8199062,-0.1001612846951021,0.0187245848373496,0.24597750834899518,0.24597750834899518,8.744421991884893e-05,8.744421991884893e-05,-10.711106373561655,2.002380666383752
Mississippi,0.487994906693306,0.4853914685395555,0.0003265451039406,401,1228008,-0.1375863895287482,0.0688574798857996,0.23813922288179365,0.23560506959054223,0.0005936694755224573,0.0005873519548842989,-5.646809211525774,2.8412007107559636
Wyoming,0.4474045687726057,0.4391980324485725,0.0002740723776341,73,266353,-0.0245943057644841,-0.0418552082160613,0.20017159968608428,0.1928956359171846,0.0027413251805455275,0.0026416817609810073,-0.46973648142115415,-0.8143465445276904
Vermont,0.468698803866515,0.4789491962031454,0.0002074298082093,76,366389,-0.0363958151467141,-0.09092213036159,0.2196791683249513,0.22939295863492085,0.002889915793647343,0.0030177023118092977,-0.6770314702900481,-1.655127311801008
Delaware,0.4933793136538548,0.495589001190566,0.0003400449875609,174,511697,-0.0855688685556751,0.0084439338752893,0.24342362285984082,0.245608938090076,0.0013985106199829506,0.0014110656321941282,-2.2881416433848987,0.2247870130563069
Montana,0.4929080155396161,0.4865031358737682,0.0002570638662737,155,602963,-0.0677857353147385,-0.0104171159488574,0.24295871472453504,0.23668569375268456,0.0015670726375353746,0.0015266119381493989,-1.712354769319043,-0.26661413529347044
Kentucky,0.4784826633189883,0.473564863063906,0.0003501648813563,726,2073309,-0.1519881925961378,0.1204805322799575,0.22894576952213289,0.22426378769581953,0.000315241874316682,0.00030879512175373074,-8.560278613805508,6.856171336615173
Virginia,0.498623359083209,0.4995590594138802,0.0002304478496293,1033,4482576,-0.0534355044027667,-0.0205099281559211,0.2486253096882514,0.2495593095156716,0.00024062731318516003,0.00024153126728890487,-3.4447479658127405,-1.3197068139101051
Texas,0.4961632802547463,0.4943257253456187,0.0003168687810876,3606,11380105,-0.1195039623283285,0.0554243555867209,0.24617802230546548,0.2443579442108525,6.824736998768913e-05,6.774279390097651e-05,-14.465696373161457,6.733937794458393
Massachusetts,0.4806766744349175,0.4864123495689366,0.0002406345803185,831,3453369,-0.0410415993783491,-0.0213069388245682,0.23105013225152965,0.2365970423251228,0.00027797176125141126,0.00028464513705792814,-2.4616365824426185,-1.2629006147149102
Illinois,0.4961326535558095,0.4977208279339746,0.0003041645328061,1701,5592368,-0.0846107994358172,-0.000361136651504,0.24614765393925314,0.2477260668564495,0.0001446636005603124,0.00014559125066023528,-7.034709427735226,-0.02992980784088446
Arizona,0.4995024534163442,0.4989107485573138,0.0003053710789689,1035,3389319,-0.0227832942764942,-0.0216035420838739,0.24950277458337367,0.24891200846614348,0.00024099186826269893,0.00024042125404594188,-1.467625758209521,-1.393280420803535
Pennsylvania,0.4999861214469397,0.4998211591627556,0.0003207185004249,2256,7034206,-0.027218274957285,-0.0256351494377355,0.24998615717819997,0.24982122666199977,0.00011077392818827252,0.00011070084413688406,-2.586079184645276,-2.4364661786739825
Colorado,0.495310598799216,0.4982669008981431,0.0002457007847068,784,3190873,-0.07071216146356,0.0094259918389552,0.2453326661685887,0.24826998233692757,0.00031284743334183274,0.00031659308955031665,-3.9978621430534007,0.5297565607098927
Iowa,0.4964462601168071,0.4946247754674774,0.0002987598749191,495,1656849,-0.1473860211873151,0.0842297236098963,0.2464590379356238,0.24465381616836057,0.0004977482946753079,0.0004941024715653407,-6.606195236256227,3.789281438101301
New Jersey,0.4984488810231379,0.49961011655371,0.0002876384508715,1229,4272725,-0.0367244211408313,-0.0217757910091438,0.24845134514143638,0.24961032698228103,0.00020209917085549467,0.00020304192795321914,-2.5832872066958936,-1.5282030971313951
South Dakota,0.481615645259989,0.4745096197476193,0.0002657825898415,114,428922,-0.0904771300584893,0.0962055670040853,0.23195417054323217,0.22515990417673604,0.0020341449224829883,0.0019745619350375046,-2.006078256917276,2.165034509863929
Missouri,0.4926797662885822,0.490112275637934,0.0003687872378236,1104,2993596,-0.1142301427950614,0.0636181259566435,0.24273343319440419,0.2402101229723237,0.00021978615598011684,0.0002175013917976227,-7.7051403351949235,4.3136991361869
Wisconsin,0.499991459708054,0.4998670407864027,0.0002819736279991,963,3415213,-0.0806705734223822,0.0203566111490531,0.2499915329803878,0.24986713162752677,0.00025952340805904906,0.00025939426343292215,-5.007568238227604,1.2639366210286629
Georgia,0.4999473500167054,0.499784810115321,0.000267045228357,1402,5250047,-0.1178121878790424,0.0460515109682407,0.2499474003973286,0.24978490399965847,0.0001782315642915209,0.0001781156919635733,-8.824658581575004,3.4505854994402316
Indiana,0.4924794070370216,0.4892016899301828,0.0003221111402734,945,2933770,-0.0985639511491913,0.0446221831371314,0.24253604902597375,0.23931837500421302,0.00025656923329382496,0.00025316538401010797,-6.153409484765203,2.8044561427639887
Nebraska,0.4906334759464198,0.4878930757251409,0.0002734493363838,259,947159,-0.1561720477953127,0.0842668447283934,0.24072146187032403,0.23803990466043753,0.0009291723426498929,0.0009188216710674721,-5.123363475290723,2.779976455082345
Alabama,0.4775252568241757,0.4744886458969113,0.0003434747769851,775,2256352,-0.12822155408376,0.0576722071733489,0.22803047196656334,0.22513957486542677,0.0002941318054852372,0.0002904028969034314,-7.476357188742422,3.38427854305214
Connecticut,0.4934080930647806,0.4958651056421344,0.0002678527253588,471,1758429,-0.0666358697791452,-0.0036605090242085,0.24345168475022502,0.24588234282417648,0.000516744109454292,0.0005219033600181177,-2.9313677359670494,-0.16023096026425845
North Dakota,0.4682824828888268,0.4615397784888557,0.0002273605088492,83,365059,-0.2294638823359697,0.1862804352107204,0.219289084475438,0.2130195506484267,0.0026414364674410434,0.0025659170893373067,-4.464720254350073,3.6774428676893685
Hawaii,0.4840719678383214,0.4886670554131208,0.0002419194079361,125,516701,-0.118802835682532,0.0261486468963675,0.23432612355116145,0.23879595320113495,0.001874155484112704,0.001909905470604152,-2.744252053266478,0.5983334517928512
California,0.4862144077005835,0.4927590089098685,0.0002227890924881,3534,15862536,-0.06676167385899,0.0066124784472896,0.2364044651589502,0.24281145616906394,6.687939921411921e-05,6.86919525820878e-05,-8.163587185269016,0.7978317932737273
Minnesota,0.4990196322327808,0.4998729996462558,0.0002274048448031,737,3240916,-0.0969270504898198,0.0287584093120009,0.24902067019024846,0.24987309287487336,0.0003378073835595537,0.00033896373205287336,-5.273639375525008,1.56202594907216
Tennessee,0.4794300939493248,0.4752835975428174,0.0003218076582389,986,3063942,-0.0902152329839501,0.0528253893207134,0.22985329000307075,0.22589457182002087,0.00023304190816843444,0.0002290282730394063,-5.909664978050077,3.490584511479101
New Hampshire,0.4996427999821977,0.4999183141366256,0.000318689819928,262,822116,-0.1146914261351799,0.0672982238089096,0.249643231233426,0.2499186248035628,0.0009525331010573206,0.0009535838865726242,-3.71613014016987,2.179335785473307
Michigan,0.4999933374126084,0.4997201155732156,0.0002339954196941,1325,5662504,-0.075532017317547,0.0306896695532177,0.2499933816059088,0.24972023800918108,0.00018863010135823335,0.00018842400348474114,-5.49953012046118,2.235754423557231
Nevada,0.4999649942475059,0.4993711651343044,0.0003488591363379,518,1484840,-0.1236770801404028,0.0714007406021361,0.2499651638177564,0.24937172851277772,0.00048238988646060306,0.000481244658121509,-5.631059632811012,3.2547658874784107
North Carolina,0.4998935387968308,0.4995196638183608,0.0002392754338429,1359,5679647,-0.1070797798274333,0.0392034354883065,0.24989359412890402,0.24951993847350512,0.00018383649796229157,0.0001835616147770231,-7.897535748393889,2.8935646637611168
Maine,0.4979382928737663,0.4994230029227278,0.0002429709818072,202,831375,0.0107057287596148,-0.0339148226053999,0.24794284174229653,0.24942363586174945,0.0012271415783495364,0.001234470461168605,0.3056109425284004,-0.965270866317366
Idaho,0.4706021125904707,0.4599398123740001,0.0002464600381073,223,904812,-0.0321477678221052,-0.0348412986477938,0.22146659313992786,0.21154486480643062,0.000992878970739655,0.0009483978809461391,-1.0202407522654655,-1.1313553807971737
West Virginia,0.4583245164219547,0.4495369422423659,0.0004512126339537,344,762390,-0.1010093259355447,0.0590147431104814,0.21006163788383989,0.2020837275066946,0.0006103687657526678,0.0005871876301619975,-4.088512427785848,2.4354099271705114
Ohio,0.4973279253974491,0.4963257044246643,0.0003160441677795,1822,5765017,-0.1388897446006886,0.078067622470419,0.24733510828288505,0.24633924760265158,0.00013570633340528272,0.00013515993058186145,-11.922576589732284,6.7150147847811565
Florida,0.4962780647411537,0.495060324594627,0.0002847557104443,3102,10893548,-0.1086051805398785,0.0530232712030794,0.2462919401521984,0.2450847474858939,7.937517959890512e-05,7.898612450177451e-05,-12.190125629294645,5.966108054095263
South Carolina,0.4931824871571016,0.4906207875425339,0.0003080678455657,785,2548140,-0.1109487154836906,0.0498942778244294,0.24322906109203518,0.24070885163338784,0.00030975048412637654,0.000306541015256123,-6.3040011195193095,2.8497479194399746
Arkansas,0.4794214033980178,0.4721994745315873,0.0003356794253032,397,1182676,-0.1407092759362699,0.0825369211586791,0.22984507637935703,0.22297253228012756,0.0005787605091088394,0.0005614551259159531,-5.8488877048240955,3.4832988704606964
Maryland,0.4748409476112747,0.4825607666705109,0.0002576558950806,777,3015650,-0.0409466694347234,-0.024723526248239,0.2254740002963339,0.2328649707484633,0.00029011056060613915,0.00029962029821878014,-2.404013007924122,-1.428317630910167
Alaska,0.497930186647201,0.4925591696935729,0.0003164023573454,107,338177,-0.0968499629086013,0.0625742384144961,0.24793520392669396,0.24261525307013782,0.0023164182863897446,0.0022667148507676494,-2.01229184128212,1.3143079278735235
Rhode Island,0.4935360209289157,0.4965768034738764,0.0002956963453106,151,510659,-0.0688680173025093,-0.0286065367113153,0.24357828094247608,0.24658900463222336,0.001612624210165592,0.0016325568818858268,-1.7149481424532618,-0.7079965176088211
