state,state_abbr,harris_Z_n,trump_Z_n,total_votes,harris_poll_likely,harris_share,trump_poll_likely,trump_share,num_respondents_likely,Pre-Election Classification
Kansas,KS,4.666213296943607,-7.80932036973894,1327591,0.5280612244897959,0.4104072715166041,0.3801020408163265,0.5715630792917397,392,Red
Utah,UT,3.449882298498191,-6.825197521424707,1487951,0.4675675675675675,0.3780809986350357,0.4189189189189189,0.5939832696103567,370,Red
Oregon,OR,2.822530349057719,-6.394034192944062,2229467,0.6049382716049383,0.5564558703941346,0.3086419753086419,0.4124214442285981,810,Blue
Oklahoma,OK,3.4361341603391717,-6.323371074242019,1566173,0.3896797153024911,0.3189934956099997,0.5284697508896797,0.6616210342024795,562,Red
New Mexico,NM,1.115079103353831,-2.9399541221474204,923403,0.5516014234875445,0.5185189998299767,0.3736654804270463,0.4585116141056505,281,Likely Blue
Louisiana,LA,3.119046892670208,-6.103114139196633,2006975,0.4504854368932038,0.3821024178178602,0.4679611650485437,0.6021524931800346,515,Red
Washington,WA,0.017913713487977555,-3.7256403303065646,3898835,0.576303317535545,0.5760307886843121,0.338388625592417,0.3926616540581994,1055,Blue
New York,NY,2.0132230716182202,-11.241427732714603,8199062,0.5821479374110953,0.5634233525737457,0.3364153627311522,0.4365766474262543,2812,Blue
Mississippi,MS,2.7722685201137587,-5.519416920747542,1228008,0.4488778054862843,0.3800203256004847,0.4713216957605985,0.6089080852893467,401,Red
Wyoming,WY,-0.864443031639679,-0.45795460424701034,266353,0.2191780821917808,0.2610332904078422,0.6986301369863014,0.7232244427507856,73,Red
Vermont,VT,-1.5941379021160589,-0.6996222594295083,366389,0.5526315789473685,0.6435537093089585,0.2894736842105263,0.3258694993572405,76,Blue
Delaware,DE,0.22529566544382537,-2.394399816488145,511697,0.5747126436781609,0.5662687098028716,0.3333333333333333,0.4189022018890085,174,Blue
Montana,MT,-0.2680064101053766,-1.688730058043817,602963,0.3741935483870968,0.3846106643359542,0.5161290322580645,0.583914767572803,155,Red
Kentucky,KY,6.513366883346426,-8.191234495117921,2073309,0.4600550964187327,0.3395745641387752,0.4931129476584022,0.64510114025454,726,Red
Virginia,VA,-1.3183918176749587,-3.4925714081459445,4482576,0.5004840271055179,0.520993955261439,0.409486931268151,0.4629224356709178,1033,Likely Blue
Texas,TX,6.661629866922747,-14.448890831521519,11380105,0.4803105934553522,0.4248862378686313,0.442318358291736,0.5618223206200645,3606,Red
Massachusetts,MA,-1.2509621504702069,-2.5335567098109597,3453369,0.5944645006016848,0.615771439426253,0.3212996389891697,0.3623412383675188,831,Blue
Illinois,IL,-0.0299231861461236,-7.300434188933511,5592368,0.5473251028806584,0.5476862395321624,0.3533215755437978,0.437932374979615,1701,Blue
Arizona,AZ,-1.3983924774677652,-1.4659423550031538,3389319,0.4454106280193237,0.4670141701031977,0.4995169082125604,0.5223002024890546,1035,Swing
Pennsylvania,PA,-2.442648856200002,-2.588451661070779,7034206,0.4609929078014184,0.4866280572391539,0.4765070921985815,0.5037253671558666,2256,Swing
Colorado,CO,0.5306252940929258,-4.122456919608387,3190873,0.5510204081632653,0.54159441632431,0.360969387755102,0.4316815492186621,784,Blue
Iowa,IA,3.7489118643825603,-6.661967582404677,1656849,0.5111111111111111,0.4268813875012147,0.4121212121212121,0.5595072333085273,495,Red
New Jersey,NJ,-1.5268046396924193,-2.605237332514215,4272725,0.4979658258746949,0.5197416168838388,0.4239218877135883,0.4606463088544196,1229,Blue
South Dakota,SD,2.0700578925017457,-1.9395392677717562,428922,0.4385964912280701,0.3423909242239847,0.543859649122807,0.6343367791812964,114,Red
Missouri,MO,4.23820596840884,-7.6037220732268915,2993596,0.4646739130434782,0.4010557870868347,0.4710144927536231,0.5852446355486846,1104,Red
Wisconsin,WI,1.2636194473192839,-5.078251793816017,3415213,0.5088265835929388,0.4884699724438856,0.4164070612668744,0.4970776346892566,963,Swing
Georgia,GA,3.455453741746496,-9.04646772418639,5250047,0.5313837375178316,0.4853322265495909,0.3894436519258202,0.5072558398048627,1402,Swing
Indiana,IN,2.762571571202773,-6.061675367485437,2933770,0.4412698412698412,0.3966476581327098,0.4878306878306878,0.5863946389798791,945,Red
Nebraska,NE,2.715716111339052,-5.063100224035411,947159,0.4749034749034749,0.3906366301750815,0.4401544401544401,0.5963264879497528,259,Red
Alabama,AL,3.277266834568099,-7.144792115599267,2256352,0.4,0.3423277928266511,0.52,0.64822155408376,775,Red
Connecticut,CT,-0.16006106652740903,-3.027160639145084,1758429,0.5605095541401274,0.5641700631643359,0.3524416135881104,0.4190774833672556,471,Blue
North Dakota,ND,3.3944374395896184,-4.2058298393611055,365059,0.4939759036144578,0.3076954684037374,0.4457831325301205,0.6752470148660902,83,Red
Hawaii,HI,0.6062081607794048,-3.043514414257822,516701,0.632,0.6058513531036325,0.256,0.3748028356825321,125,Blue
California,CA,0.7996636365211587,-8.53205062725667,15862536,0.5913978494623656,0.584785371015076,0.3166383701188455,0.3834000439778355,3534,Blue
Minnesota,MN,1.5664794693384347,-5.444781449930286,3240916,0.5400271370420624,0.5112687277300615,0.3717774762550881,0.4687045267449079,737,Likely Blue
Tennessee,TN,3.389392178127488,-5.696192569313517,3063942,0.3975659229208925,0.3447405336001791,0.5517241379310345,0.6419393709149847,986,Red
New Hampshire,NH,2.204477020282611,-3.8529487249928867,822116,0.5763358778625954,0.5090376540536858,0.366412213740458,0.481103639875638,262,Likely Blue
Michigan,MI,2.2351132855970346,-5.567171659937744,5662504,0.5139622641509434,0.4832725945977256,0.4218867924528302,0.4974188097703772,1325,Swing
Nevada,NV,3.2641507457140726,-5.792636532107375,1484840,0.5463320463320464,0.4749313057299102,0.3822393822393822,0.505916462379785,518,Swing
North Carolina,NC,2.89216941986883,-8.047036075173558,5679647,0.5172921265636498,0.4780886910753432,0.4032376747608536,0.5103174545882869,1359,Swing
Maine,ME,-0.9642294555719092,0.30504751083117093,831375,0.4900990099009901,0.52401383250639,0.4653465346534653,0.4546408058938505,202,Likely Blue
Idaho,ID,-1.1732274115317074,-0.9982088961831843,904812,0.2690582959641255,0.3038995946119194,0.6367713004484304,0.6689190682705357,223,Red
West Virginia,WV,2.310427394900093,-3.8223106757190917,762390,0.3401162790697674,0.2811015359592859,0.5988372093023255,0.6998465352378703,344,Red
Ohio,OH,6.668731443367495,-12.041814398911281,5765017,0.5175631174533479,0.4394954949829289,0.4127332601536773,0.5516230047543659,1822,Red
Florida,FL,5.9097773475514925,-12.153117789321895,10893548,0.4829142488716957,0.4298909776686163,0.4522888459058672,0.5608940264457457,3102,Red
South Carolina,SC,2.8080289505247795,-6.227329608467249,2548140,0.4535031847133758,0.4036089068889464,0.4713375796178344,0.5822862951015251,785,Red
Arkansas,AR,3.3340644491977276,-5.6072427109608505,1182676,0.4181360201511335,0.3355990989924544,0.5012594458438288,0.6419687217800987,397,Red
Maryland,MD,-1.4104924779981731,-2.4849436004211727,3015650,0.6061776061776062,0.6309011324258452,0.3024453024453024,0.3433919718800258,777,Blue
Alaska,AK,1.295961612441394,-2.0143201666215695,338177,0.4766355140186916,0.4140612756041954,0.4485981308411215,0.5454480937497228,107,Red
Rhode Island,RI,-0.7042981305535693,-1.773095094200679,510659,0.5298013245033113,0.5584078612146266,0.3509933774834437,0.4198613947859531,151,Blue
