state,state_abbr,harris_Z_n,trump_Z_n,num_respondents_all,harris_poll_all,harris_share,trump_poll_all,trump_share,Pre-Election Classification
Kansas,KS,3.372813139061288,-9.079021105610714,449,0.4899777282850779,0.4104072715166041,0.3652561247216035,0.5715630792917397,Red
Utah,UT,1.857477300107514,-7.685086714206351,426,0.4225352112676056,0.3780809986350357,0.4107981220657277,0.5939832696103567,Red
Oregon,OR,0.6896687513277041,-6.865082244985898,891,0.5679012345679012,0.5564558703941346,0.3063973063973064,0.4124214442285981,Blue
Oklahoma,OK,2.0639239435704355,-8.61119038379496,672,0.3571428571428571,0.3189934956099997,0.4955357142857143,0.6616210342024795,Red
New Mexico,NM,-0.3845641845394235,-3.9946800003864973,321,0.5077881619937694,0.5185189998299767,0.35202492211838,0.4585116141056505,Likely Blue
Louisiana,LA,1.7184411191261963,-8.321124363058603,615,0.416260162601626,0.3821024178178602,0.4357723577235772,0.6021524931800346,Red
Washington,WA,-2.2137864358890598,-5.19402192847506,1166,0.5437392795883362,0.5760307886843121,0.3216123499142367,0.3926616540581994,Blue
New York,NY,-2.332172151247801,-14.297687502786339,3205,0.5429017160686428,0.5634233525737457,0.3188767550702028,0.4365766474262543,Blue
Mississippi,MS,1.627693801698668,-7.803001755049681,475,0.4168421052631579,0.3800203256004847,0.431578947368421,0.6089080852893467,Red
Wyoming,WY,-0.7557257777117927,-1.4826423670197408,88,0.2272727272727272,0.2610332904078422,0.6477272727272727,0.7232244427507856,Red
Vermont,VT,-2.538710076415437,-0.6424684785446256,85,0.5058823529411764,0.6435537093089585,0.2941176470588235,0.3258694993572405,Blue
Delaware,DE,-1.3218696909302832,-3.283359522611806,202,0.5198019801980198,0.5662687098028716,0.3118811881188119,0.4189022018890085,Blue
Montana,MT,-0.2413851540683958,-2.895631246064579,173,0.3757225433526011,0.3846106643359542,0.4739884393063583,0.583914767572803,Red
Kentucky,KY,4.972835777290189,-10.522772053334814,844,0.424170616113744,0.3395745641387752,0.4644549763033175,0.64510114025454,Red
Virginia,VA,-3.1642193254202367,-5.1928933847953225,1177,0.4749362786745964,0.520993955261439,0.3891248937977909,0.4629224356709178,Likely Blue
Texas,TX,2.1426793371101254,-19.267744704502206,4222,0.4412600663192799,0.4248862378686313,0.4156797726196115,0.5618223206200645,Red
Massachusetts,MA,-2.779265910205634,-3.5971246573085205,917,0.5703380588876772,0.615771439426253,0.3075245365321701,0.3623412383675188,Blue
Illinois,IL,-3.4241898967363174,-9.676492660469174,1936,0.5087809917355371,0.5476862395321624,0.334194214876033,0.437932374979615,Blue
Arizona,AZ,-3.068622275795372,-3.225837421765779,1162,0.4225473321858864,0.4670141701031977,0.4750430292598967,0.5223002024890546,Swing
Pennsylvania,PA,-4.468423752548043,-5.4983110389937195,2503,0.4422692768677587,0.4866280572391539,0.4490611266480224,0.5037253671558666,Swing
Colorado,CO,-1.0582347649123298,-4.926330135147804,867,0.5236447520184544,0.54159441632431,0.3517877739331027,0.4316815492186621,Blue
Iowa,IA,2.725993874408486,-7.370782793137575,544,0.4852941176470588,0.4268813875012147,0.4044117647058823,0.5595072333085273,Red
New Jersey,NJ,-3.3583256655489264,-4.500626911011311,1362,0.474302496328928,0.5197416168838388,0.4008810572687225,0.4606463088544196,Blue
South Dakota,SD,1.1014223033245614,-2.2941964920394704,131,0.3893129770992366,0.3423909242239847,0.5343511450381679,0.6343367791812964,Red
Missouri,MO,2.9292611775881894,-8.988667618704364,1215,0.442798353909465,0.4010557870868347,0.4567901234567901,0.5852446355486846,Red
Wisconsin,WI,-0.18791322676901953,-7.337865819714569,1077,0.4856081708449396,0.4884699724438856,0.3881151346332405,0.4970776346892566,Swing
Georgia,GA,0.5280397347233851,-11.453352593704372,1608,0.4919154228855721,0.4853322265495909,0.3694029850746269,0.5072558398048627,Swing
Indiana,IN,0.6457919007338452,-8.256688317234573,1078,0.4063079777365491,0.3966476581327098,0.461038961038961,0.5863946389798791,Red
Nebraska,NE,2.2202185863872677,-5.993104314493301,285,0.4561403508771929,0.3906366301750815,0.4210526315789473,0.5963264879497528,Red
Alabama,AL,1.9529990213815234,-9.615593687461175,882,0.3741496598639456,0.3423277928266511,0.4863945578231292,0.64822155408376,Red
Connecticut,CT,-1.5057448221917737,-4.670066637971199,536,0.5317164179104478,0.5641700631643359,0.3246268656716418,0.4190774833672556,Blue
North Dakota,ND,2.7382253829074257,-5.274278451529264,99,0.4444444444444444,0.3076954684037374,0.4141414141414141,0.6752470148660902,Red
Hawaii,HI,-0.9296670737941513,-2.9834948064162594,153,0.5686274509803921,0.6058513531036325,0.2679738562091503,0.3748028356825321,Blue
California,CA,-4.543621181741944,-11.467909752900885,4035,0.5491945477075588,0.584785371015076,0.3006195786864932,0.3834000439778355,Blue
Minnesota,MN,0.31831616366845206,-6.216502069262944,799,0.5168961201501877,0.5112687277300615,0.3629536921151439,0.4687045267449079,Likely Blue
Tennessee,TN,1.9300906146588945,-8.34278064170352,1133,0.3724624889673433,0.3447405336001791,0.5180935569285083,0.6419393709149847,Red
New Hampshire,NH,1.186661311513535,-4.630765249625513,283,0.5441696113074205,0.5090376540536858,0.3498233215547703,0.481103639875638,Likely Blue
Michigan,MI,-0.021436914006284,-7.458234009830523,1470,0.4829931972789115,0.4832725945977256,0.4020408163265306,0.4974188097703772,Swing
Nevada,NV,1.8772329169463224,-7.514967868288879,590,0.5135593220338983,0.4749313057299102,0.3576271186440678,0.505916462379785,Swing
North Carolina,NC,0.7234993439047577,-10.473070742835368,1537,0.4873129472999349,0.4780886910753432,0.3806115810019518,0.5103174545882869,Swing
Maine,ME,-1.6574670247916978,-0.6525899961449301,224,0.46875,0.52401383250639,0.4330357142857143,0.4546408058938505,Likely Blue
Idaho,ID,-1.717723329829578,-1.0023166032328679,246,0.2560975609756097,0.3038995946119194,0.6382113821138211,0.6689190682705357,Red
West Virginia,WV,1.6781340335129769,-5.721589845611073,403,0.3200992555831266,0.2811015359592859,0.5583126550868487,0.6998465352378703,Red
Ohio,OH,3.226321297831028,-14.996593240743948,2083,0.4747959673547767,0.4394954949829289,0.3912626020163226,0.5516230047543659,Red
Florida,FL,2.427823396939398,-16.177977745397108,3543,0.450183460344341,0.4298909776686163,0.4264747389218176,0.5608940264457457,Red
South Carolina,SC,1.4036481016445148,-7.799937073242399,895,0.4268156424581005,0.4036089068889464,0.4525139664804469,0.5822862951015251,Red
Arkansas,AR,1.9418018246028685,-7.9423324930044075,492,0.3780487804878049,0.3355990989924544,0.4634146341463415,0.6419687217800987,Red
Maryland,MD,-3.6080430215757313,-3.4445545517518963,868,0.5702764976958525,0.6309011324258452,0.2903225806451613,0.3433919718800258,Blue
Alaska,AK,0.8459355053779759,-2.009041837836501,117,0.452991452991453,0.4140612756041954,0.452991452991453,0.5454480937497228,Red
Rhode Island,RI,-2.3116987519049825,-2.336432226041724,178,0.4719101123595505,0.5584078612146266,0.3370786516853932,0.4198613947859531,Blue
