Unnamed: 0,state,trump_votes,harris_votes,total_votes,last_updated,trump_share,State,Pre-Election Classification,inputstate,trump_poll_all,num_respondents_all
0,Kansas,758802,544853,1327591,2024-12-19T15:23:44.873000Z,0.5715630792917397,Kansas,Red,20,0.42316258351893093,449
1,Utah,883818,562566,1487951,2024-12-05T19:39:17.391000Z,0.5939832696103567,Utah,Red,49,0.4835680751173709,426
2,Oregon,919480,1240600,2229467,2024-12-18T17:58:30.217000Z,0.4124214442285981,Oregon,Blue,41,0.3557800224466891,891
3,Oklahoma,1036213,499599,1566173,2024-12-05T19:39:12.923000Z,0.6616210342024795,Oklahoma,Red,40,0.5520833333333334,672
4,New Mexico,423391,478802,923403,2024-12-05T19:39:11.854000Z,0.4585116141056505,New Mexico,Likely Blue,35,0.4143302180685358,321
5,Louisiana,1208505,766870,2006975,2024-12-05T19:39:03.682000Z,0.6021524931800346,Louisiana,Red,22,0.5024390243902439,615
6,Washington,1530923,2245849,3898835,2024-12-05T19:39:20.864000Z,0.3926616540581994,Washington,Blue,53,0.37392795883361923,1166
7,New York,3579519,4619543,8199062,2025-03-04T15:16:15.149000Z,0.43657664742625435,New York,Blue,36,0.3837753510140406,3205
8,Mississippi,747744,466668,1228008,2024-12-05T19:39:08.922000Z,0.6089080852893467,Mississippi,Red,28,0.511578947368421,475
9,Wyoming,192633,69527,266353,2024-12-05T19:39:22.066000Z,0.7232244427507856,Wyoming,Red,56,0.7045454545454546,88
10,Vermont,119395,235791,366389,2024-12-05T19:39:18.753000Z,0.3258694993572405,Vermont,Blue,50,0.35294117647058826,85
11,Delaware,214351,289758,511697,2025-02-11T15:58:24.967000Z,0.4189022018890085,Delaware,Blue,10,0.38613861386138615,202
12,Montana,352079,231906,602963,2024-12-05T19:39:09.822000Z,0.583914767572803,Montana,Red,30,0.5664739884393064,173
13,Kentucky,1337494,704043,2073309,2024-12-30T20:15:27.288000Z,0.64510114025454,Kentucky,Red,21,0.5130331753554502,844
14,Virginia,2075085,2335395,4482576,2024-12-05T19:39:17.699000Z,0.4629224356709178,Virginia,Likely Blue,51,0.4511469838572642,1177
15,Texas,6393597,4835250,11380105,2025-03-21T20:31:59.529000Z,0.5618223206200645,Texas,Red,48,0.48010421601136904,4222
16,Massachusetts,1251298,2126486,3453369,2025-02-12T21:00:15.336000Z,0.3623412383675188,Massachusetts,Blue,25,0.35659760087241005,917
17,Illinois,2449079,3062863,5592368,2024-12-30T08:49:43.924000Z,0.43793237497961507,Illinois,Blue,17,0.4049586776859504,1936
18,Arizona,1770242,1582860,3389319,2024-12-05T19:38:57.520000Z,0.5223002024890546,Arizona,Swing,4,0.5258175559380379,1162
19,Pennsylvania,3543308,3423042,7034206,2025-01-24T21:54:20.700000Z,0.5037253671558666,Pennsylvania,Swing,42,0.5021973631642029,2503
20,Colorado,1377441,1728159,3190873,2024-12-06T21:14:43.777000Z,0.4316815492186621,Colorado,Blue,8,0.4117647058823529,867
21,Iowa,927019,707278,1656849,2024-12-05T19:39:01.301000Z,0.5595072333085273,Iowa,Red,19,0.4632352941176471,544
22,New Jersey,1968215,2220713,4272725,2024-12-06T19:09:58.271000Z,0.4606463088544196,New Jersey,Blue,34,0.460352422907489,1362
23,South Dakota,272081,146859,428922,2024-12-05T19:39:14.677000Z,0.6343367791812964,South Dakota,Red,46,0.5572519083969466,131
24,Missouri,1751986,1200599,2993596,2024-12-12T15:57:58.757000Z,0.5852446355486846,Missouri,Red,29,0.497119341563786,1215
25,Wisconsin,1697626,1668229,3415213,2025-01-17T15:32:00.741000Z,0.4970776346892566,Wisconsin,Swing,55,0.44753946146703805,1077
26,Georgia,2663117,2548017,5250047,2024-12-05T19:39:00.323000Z,0.5072558398048627,Georgia,Swing,13,0.43656716417910446,1608
27,Indiana,1720347,1163673,2933770,2025-02-21T18:41:13.317000Z,0.5863946389798791,Indiana,Red,18,0.5148423005565863,1078
28,Nebraska,564816,369995,947159,2024-12-05T19:39:10.493000Z,0.5963264879497528,Nebraska,Red,31,0.48771929824561405,285
