Unnamed: 0,state,trump_votes,harris_votes,total_votes,last_updated,trump_share,harris_share,State,Pre-Election Classification,inputstate,harris_poll_likely,trump_poll_likely,num_respondents_likely
0,Kansas,758802,544853,1327591,2024-12-19T15:23:44.873000Z,0.5715630792917397,0.4104072715166041,Kansas,Red,20,0.5280612244897959,0.38010204081632654,392
1,Utah,883818,562566,1487951,2024-12-05T19:39:17.391000Z,0.5939832696103567,0.3780809986350357,Utah,Red,49,0.46756756756756757,0.4189189189189189,370
2,Oregon,919480,1240600,2229467,2024-12-18T17:58:30.217000Z,0.4124214442285981,0.5564558703941346,Oregon,Blue,41,0.6049382716049383,0.30864197530864196,810
3,Oklahoma,1036213,499599,1566173,2024-12-05T19:39:12.923000Z,0.6616210342024795,0.3189934956099997,Oklahoma,Red,40,0.3896797153024911,0.5284697508896797,562
4,New Mexico,423391,478802,923403,2024-12-05T19:39:11.854000Z,0.4585116141056505,0.5185189998299767,New Mexico,Likely Blue,35,0.5516014234875445,0.3736654804270463,281
5,Louisiana,1208505,766870,2006975,2024-12-05T19:39:03.682000Z,0.6021524931800346,0.3821024178178602,Louisiana,Red,22,0.45048543689320386,0.4679611650485437,515
6,Washington,1530923,2245849,3898835,2024-12-05T19:39:20.864000Z,0.3926616540581994,0.5760307886843121,Washington,Blue,53,0.576303317535545,0.33838862559241706,1055
7,New York,3579519,4619543,8199062,2025-03-04T15:16:15.149000Z,0.43657664742625435,0.5634233525737457,New York,Blue,36,0.5821479374110953,0.3364153627311522,2812
8,Mississippi,747744,466668,1228008,2024-12-05T19:39:08.922000Z,0.6089080852893467,0.3800203256004847,Mississippi,Red,28,0.4488778054862843,0.4713216957605985,401
9,Wyoming,192633,69527,266353,2024-12-05T19:39:22.066000Z,0.7232244427507856,0.26103329040784223,Wyoming,Red,56,0.2191780821917808,0.6986301369863014,73
10,Vermont,119395,235791,366389,2024-12-05T19:39:18.753000Z,0.3258694993572405,0.6435537093089585,Vermont,Blue,50,0.5526315789473685,0.2894736842105263,76
11,Delaware,214351,289758,511697,2025-02-11T15:58:24.967000Z,0.4189022018890085,0.5662687098028716,Delaware,Blue,10,0.5747126436781609,0.3333333333333333,174
12,Montana,352079,231906,602963,2024-12-05T19:39:09.822000Z,0.583914767572803,0.38461066433595426,Montana,Red,30,0.3741935483870968,0.5161290322580645,155
13,Kentucky,1337494,704043,2073309,2024-12-30T20:15:27.288000Z,0.64510114025454,0.33957456413877524,Kentucky,Red,21,0.46005509641873277,0.4931129476584022,726
